Overall Rank,City,Total Score,Healthcare,Food,Fitness,Green Space
142,"Nampa, ID",38.33,165,98,131,175
143,"Irving, TX",38.13,139,133,107,140
144,"Akron, OH",38.07,149,146,132,102
145,"Bakersfield, CA",37.91,151,108,139,154
146,"Newark, NJ",37.69,174,65,154,150
147,"Ontario, CA",37.65,161,144,117,139
148,"Hialeah, FL",37.55,170,61,141,163
149,"Fontana, CA",37.32,147,159,119,133
150,"Tulsa, OK",37.16,113,147,135,148
151,"Garland, TX",37.14,133,138,126,138
152,"Stockton, CA",37.07,134,121,165,149
153,"Fort Wayne, IN",36.76,145,137,121,161
154,"Birmingham, AL",36.58,123,151,151,143
155,"Grand Prairie, TX",36.55,119,149,169,131
156,"Dover, DE",36.40,74,173,163,173
157,"Columbus, GA",36.31,150,157,167,119
158,"Moreno Valley, CA",36.22,153,153,164,118
159,"Winston-Salem, NC",36.08,112,169,115,166
160,"San Bernardino, CA",35.81,177,154,143,106
161,"Charleston, WV",35.39,94,168,171,136
162,"Amarillo, TX",35.37,179,172,110,121
163,"Fayetteville, NC",35.02,79,170,166,177
164,"Las Cruces, NM",35.01,127,177,130,174
165,"Wichita, KS",34.92,124,174,137,145
166,"North Las Vegas, NV",34.62,175,160,173,79
167,"Mobile, AL",34.19,159,158,155,178
168,"Baton Rouge, LA",34.16,152,167,160,144
169,"Corpus Christi, TX",34.11,169,155,159,152
170,"Detroit, MI",33.73,171,124,175,151
171,"Augusta, GA",33.67,136,162,158,180
172,"Toledo, OH",33.27,155,152,168,169
173,"Lubbock, TX",32.44,180,175,123,142
174,"Huntington, WV",32.01,168,143,179,141
175,"Jackson, MS",31.45,92,176,174,179
176,"Fort Smith, AR",31.02,172,161,177,168
177,"Montgomery, AL",30.86,157,178,172,164
178,"Memphis, TN",29.17,178,164,176,171
179,"Shreveport, LA",28.02,176,180,178,170
180,"Gulfport, MS",26.02,163,179,180,182
181,"Laredo, TX",25.64,181,181,182,157
182,"Brownsville, TX",23.39,182,182,181,181
